model,scenario,f1_degradation,f1_degradation_pct,roc_degradation,roc_degradation_pct
csic_rf,noisy,0.0783715734600518,22.025114604135084,0.06328888888888884,9.257272873666246
csic_rf,gradual_attacks,0.1774244649903511,49.86239273327528,0.2674791666666666,39.124207697836525
csic_rf,adversarial,0.06883270516382844,19.344363687156733,0.08387916666666673,12.269015112783674
csic_rf,weak_signals,-0.16449698239313687,-46.22932434921712,-0.13344583333333337,-19.519137003483312
csic_iso,noisy,0.0006635700066356942,0.36363636343708766,0.05888888888888888,7.703936274357005
csic_iso,gradual_attacks,-0.1508515815085158,-82.66666662136532,0.05072500000000002,6.635923599341195
csic_iso,adversarial,-0.1508515815085158,-82.66666662136532,0.17352499999999993,22.700811090698473
csic_iso,weak_signals,-0.1508515815085158,-82.66666662136532,-0.0454500000000001,-5.9458398736334725
robust_rf,noisy,0.07032085561497325,9.64076246202139,-0.08106666666666673,-9.79591836616323
robust_rf,gradual_attacks,-0.23997599039615847,-32.8999341627048,-0.17204444444444456,-20.789473681698386
robust_rf,adversarial,0.6901960784313725,94.6236559010059,0.1912555555555555,23.110902252846426
robust_rf,weak_signals,0.5071895424836601,69.53405016967858,-0.01684444444444455,-2.0354457570043225
robust_iso,noisy,0.13704600484261498,21.802773494220123,0.034044444444444544,4.009421616905471
robust_iso,gradual_attacks,-0.2787456445993032,-44.345897997379566,-0.14016388888888875,-16.50713163898763
robust_iso,adversarial,0.5174603174603174,82.32323231013544,0.2477611111111111,29.178879870942033
robust_iso,weak_signals,0.324223602484472,51.58102765977811,0.07028611111111116,8.27761057217354
